timestamp,gaze_x,gaze_y,left_pupil_x,left_pupil_y,left_axis_major,left_axis_minor,left_angle,right_pupil_x,right_pupil_y,right_axis_major,right_axis_minor,right_angle
1762406349.5547411,321,331,189.08407592773438,179.846435546875,69.50597381591797,81.01302337646484,160.829833984375,399.612548828125,200.25238037109375,68.08113861083984,77.89846801757812,42.87361526489258
1762406349.7432551,324,333,188.01531982421875,180.40359497070312,69.48888397216797,80.94707489013672,160.99752807617188,401.0762023925781,199.00209045410156,67.789306640625,78.0706787109375,40.46258544921875
1762406349.8393137,324,333,188.01531982421875,180.40359497070312,69.48888397216797,80.94707489013672,160.99752807617188,401.0762023925781,199.00209045410156,67.789306640625,78.0706787109375,40.46258544921875
1762406349.9170783,294,352,216.27783203125,184.06051635742188,66.00275421142578,76.59709930419922,165.89852905273438,401.0762023925781,199.00209045410156,67.789306640625,78.0706787109375,40.46258544921875
1762406349.976126,294,352,216.27783203125,184.06051635742188,66.00275421142578,76.59709930419922,165.89852905273438,401.0762023925781,199.00209045410156,67.789306640625,78.0706787109375,40.46258544921875
1762406350.0339065,249,332,216.27783203125,184.06051635742188,66.00275421142578,76.59709930419922,165.89852905273438,374.51239013671875,202.8189239501953,68.54058074951172,77.46240234375,62.03653335571289
1762406350.084979,249,332,216.27783203125,184.06051635742188,66.00275421142578,76.59709930419922,165.89852905273438,374.51239013671875,202.8189239501953,68.54058074951172,77.46240234375,62.03653335571289
1762406350.1302018,249,332,216.27783203125,184.06051635742188,66.00275421142578,76.59709930419922,165.89852905273438,374.51239013671875,202.8189239501953,68.54058074951172,77.46240234375,62.03653335571289
1762406350.188981,249,332,216.27783203125,184.06051635742188,66.00275421142578,76.59709930419922,165.89852905273438,374.51239013671875,202.8189239501953,68.54058074951172,77.46240234375,62.03653335571289
1762406350.2519732,249,332,216.27783203125,184.06051635742188,66.00275421142578,76.59709930419922,165.89852905273438,374.51239013671875,202.8189239501953,68.54058074951172,77.46240234375,62.03653335571289
1762406350.3145807,291,349,216.27783203125,184.06051635742188,66.00275421142578,76.59709930419922,165.89852905273438,403.1017761230469,207.4436798095703,64.34494018554688,75.69813537597656,45.47633743286133
1762406350.3720586,291,349,216.27783203125,184.06051635742188,66.00275421142578,76.59709930419922,165.89852905273438,403.1017761230469,207.4436798095703,64.34494018554688,75.69813537597656,45.47633743286133
1762406350.4316006,211,373,216.27783203125,184.06051635742188,66.00275421142578,76.59709930419922,165.89852905273438,334.5,158.0,2.5,5.0,90.0
1762406350.4846015,243,336,182.46278381347656,169.6094970703125,66.98922729492188,77.86335754394531,148.3668212890625,334.5,158.0,2.5,5.0,90.0
1762406350.5564263,243,336,182.46278381347656,169.6094970703125,66.98922729492188,77.86335754394531,148.3668212890625,334.5,158.0,2.5,5.0,90.0
1762406350.6364667,241,343,182.46278381347656,169.6094970703125,66.98922729492188,77.86335754394531,148.3668212890625,335.1802978515625,157.50006103515625,3.458942413330078,5.580656051635742,105.6660385131836
1762406350.7618914,241,343,182.46278381347656,169.6094970703125,66.98922729492188,77.86335754394531,148.3668212890625,335.1802978515625,157.50006103515625,3.458942413330078,5.580656051635742,105.6660385131836
1762406350.909733,241,343,182.46278381347656,169.6094970703125,66.98922729492188,77.86335754394531,148.3668212890625,335.1802978515625,157.50006103515625,3.458942413330078,5.580656051635742,105.6660385131836
1762406351.0288913,293,356,182.46278381347656,169.6094970703125,66.98922729492188,77.86335754394531,148.3668212890625,409.46673583984375,185.8927001953125,26.10248374938965,59.21006393432617,88.11203002929688
1762406351.0745046,293,356,182.46278381347656,169.6094970703125,66.98922729492188,77.86335754394531,148.3668212890625,409.46673583984375,185.8927001953125,26.10248374938965,59.21006393432617,88.11203002929688
1762406351.194932,293,356,182.46278381347656,169.6094970703125,66.98922729492188,77.86335754394531,148.3668212890625,409.46673583984375,185.8927001953125,26.10248374938965,59.21006393432617,88.11203002929688
1762406351.3499513,316,372,180.60450744628906,177.58160400390625,81.12258911132812,92.67748260498047,169.1937713623047,409.46673583984375,185.8927001953125,26.10248374938965,59.21006393432617,88.11203002929688
1762406351.4452617,339,322,180.60450744628906,177.58160400390625,81.12258911132812,92.67748260498047,169.1937713623047,400.776611328125,207.00454711914062,65.91000366210938,76.27086639404297,45.95003890991211
1762406351.5935445,314,309,186.01699829101562,170.76513671875,67.60722351074219,79.37417602539062,152.344482421875,400.776611328125,207.00454711914062,65.91000366210938,76.27086639404297,45.95003890991211
1762406351.7001793,293,296,186.01699829101562,170.76513671875,67.60722351074219,79.37417602539062,152.344482421875,390.6710205078125,215.00701904296875,66.3975830078125,76.8766098022461,55.37112045288086
1762406351.8357127,278,290,199.959228515625,164.11767578125,67.60088348388672,78.9883041381836,149.91880798339844,390.6710205078125,215.00701904296875,66.3975830078125,76.8766098022461,55.37112045288086
1762406351.9225538,283,299,199.959228515625,164.11767578125,67.60088348388672,78.9883041381836,149.91880798339844,391.5502014160156,213.97366333007812,62.19648361206055,70.09262084960938,62.82967758178711
1762406351.9921298,283,299,199.959228515625,164.11767578125,67.60088348388672,78.9883041381836,149.91880798339844,391.5502014160156,213.97366333007812,62.19648361206055,70.09262084960938,62.82967758178711
1762406352.0756826,283,299,199.959228515625,164.11767578125,67.60088348388672,78.9883041381836,149.91880798339844,391.5502014160156,213.97366333007812,62.19648361206055,70.09262084960938,62.82967758178711
1762406352.1301131,280,304,199.01467895507812,167.43548583984375,64.41918182373047,74.45672607421875,149.588623046875,391.5502014160156,213.97366333007812,62.19648361206055,70.09262084960938,62.82967758178711
